ds,yhat,yhat_lower,yhat_upper
2020-07-28,8967865.21247662,8962083.17530408,8973337.955789877
2020-07-29,9128851.282198068,9121678.614388432,9135386.002767393
2020-07-30,9298689.06815126,9290269.917911211,9306520.896613225
2020-07-31,9470520.270024039,9460217.387897981,9479946.604156053
2020-08-01,9612827.680621335,9597452.895302756,9624726.520060498
2020-08-02,9718611.450185163,9697420.989564242,9736343.864124238
2020-08-03,9825279.90947453,9796532.558632037,9851654.500372337
