ds,yhat,yhat_lower,yhat_upper
2020-07-28,1515200.1319947054,1512735.0360961237,1517660.1594312822
2020-07-29,1559865.8332708355,1557107.5800888909,1562723.8624459535
2020-07-30,1604957.8624279716,1601485.539243015,1607928.4676227036
2020-07-31,1649924.4391174018,1645793.817737816,1653572.5424401662
2020-08-01,1694049.4281302677,1688874.4560460886,1698551.797357298
2020-08-02,1738341.5626382984,1731964.720156282,1744238.1218041203
2020-08-03,1782021.7519926836,1772387.8615541386,1789587.6693508946
