ds,yhat,yhat_lower,yhat_upper
2020-07-28,511174.82631243736,509442.23647916265,513032.58669221355
2020-07-29,525659.2648762336,523811.46253320354,527560.431984396
2020-07-30,539457.5962017995,537441.5288441672,541329.534941343
2020-07-31,553780.6715540894,551531.6629540346,556017.2938635966
2020-08-01,567700.9651375259,565116.9586194607,570137.5410565401
2020-08-02,582226.1966911699,579012.1791943674,585041.638683589
2020-08-03,595884.0896272842,592042.0731853362,599297.3657902569
