ds,yhat,yhat_lower,yhat_upper
2020-07-28,1865184.7921708208,1849571.0051285592,1880552.9451109255
2020-07-29,1907508.3102111942,1891901.822631736,1922544.991074642
2020-07-30,1952627.8965537485,1937664.2579454456,1969554.6704663257
2020-07-31,1994930.2688676594,1978227.021641291,2010967.928824925
2020-08-01,2035113.0481148532,2017810.548673026,2051624.2027832344
2020-08-02,2072605.7575858668,2053325.752656132,2091033.7895562502
2020-08-03,2114616.5871465304,2093769.3668469132,2133092.5562429815
