ds,yhat,yhat_lower,yhat_upper
2020-07-28,16702863.126328686,16695046.192373946,16711590.359329145
2020-07-29,16973468.685688082,16964192.138244413,16982655.97537439
2020-07-30,17257050.98626647,17244267.989823993,17269720.646246787
2020-07-31,17541311.143380918,17520737.06890838,17558876.193869554
2020-08-01,17787836.406189367,17755790.568063565,17815851.994734343
2020-08-02,17995859.586613324,17953054.881647512,18033577.250478197
2020-08-03,18201541.2489052,18142223.12065556,18252751.983267233
